title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
BOEING-VERTOL VR-12 AIRFOIL (vr12-il),28.9,28.9,39.4,39.9,49.2,53.6,73,75.5,94.4,93.9,10.6%,2.3%
BOEING-VERTOL VR-11X AIRFOIL (vr11x-il),30.5,29.4,41,39.5,55.4,51.6,71.7,73.2,92.3,89.6,11%,2.4%
BOEING-VERTOL VR-1 AIRFOIL (vr1-il),30.6,30,46.9,44.1,63.5,53.6,72.8,61.1,77.8,75.6,11%,1.5%
BOEING VERTOL V43015-2.48 AIRFOIL (v43015-il),23.5,27.1,36.3,39.8,51.4,53.5,74.6,76.7,98.2,95,15%,3.7%
BOEING VERTOL V43012-1.58 AIRFOIL (v43012-il),24,28.2,36.3,40.6,50.5,55.9,77.7,81.1,102.9,101.3,12%,3.7%
BOEING-VERTOL V23010-1.58 AIRFOIL (v23010-il),23.8,27.9,35.1,41.2,54.2,57.7,79.9,78,97.6,94.1,10.2%,1.8%
BOEING VERTOL V(1.95)3009-1.25 AIRFOIL (v13009-il),26.2,28.7,36.6,39.7,49.7,53.7,72.9,71.7,88.4,86.4,9%,1.3%
BOEING VERTOL V13006-.7 AIRFOIL (v13006-il),27.9,28.1,37.7,35.3,46.3,41.1,54.7,53.7,62.4,64.2,6%,0.9%
USNPS4 (smoothed) (usnps4-il),32.7,37.1,55.5,53.2,74.3,67.2,95.2,87.2,110.8,105.3,11.9%,5%
USA 98 AIRFOIL (usa98-il),8.8,26.6,54.2,59.7,84.1,84.3,120.3,112.7,147.4,124.3,14.3%,6.4%
USA 51 AIRFOIL (usa51-il),32.4,35.2,48.2,48.9,63.2,60.3,80.7,73,92.1,86.2,9.3%,2.6%
USA 50 AIRFOIL (usa50-il),36.4,36.1,51.1,49.2,65.1,60.5,80.4,73.3,92.3,83.7,7%,2%
USA 5 AIRFOIL (usa5-il),38.9,40.7,55.8,56.3,72.4,71,95,91.9,112.5,99.7,6.4%,4.5%
USA 49 AIRFOIL (usa49-il),33.1,33.6,43.9,42.1,52.1,48.5,59.7,65.6,78,75.1,7.3%,1.7%
USA 48 AIRFOIL (usa48-il),24.1,30.6,49.8,49.3,69.1,63.2,85.1,65.1,81.4,73.2,14.9%,2.9%
USA 46 AIRFOIL (usa46-il),38.3,38.3,52.9,51.8,69,63.6,86.4,75.1,97.3,80.8,6.5%,2.2%
USA 45 M AIRFOIL (usa45m-il),20.4,29.5,45.1,48,65.9,66.3,93.7,90.4,115.3,108.5,11.6%,3.3%
USA 45 AIRFOIL (usa45-il),17.1,25.6,33,42.3,59,62,90,89.9,115.9,112.3,14.5%,4.1%
USA 41 AIRFOIL (usa41-il),41.2,42.2,59.8,60.9,79.3,79.9,107.8,104.6,129.2,122.8,6.6%,4.5%
USA 40 B AIRFOIL (usa40b-il),25.1,31.2,39.9,45.3,56.4,62,85.1,88.4,111.1,112,13.6%,4%
USA 40 AIRFOIL (usa40-il),23.3,35.3,50.1,53.2,71.1,69.2,95.4,82.2,105.1,87,13.3%,4.2%
USA-35B AIRFOIL (usa35b-il),24.6,36.2,53.3,56.7,76.8,75.2,106,97,125.6,113.1,11.6%,4.1%
USA 35 A AIRFOIL (usa35a-il),4.3,20.4,35.6,46.4,66.5,67.1,97.8,92.3,122.3,109.6,18.2%,6.4%
USA 35 AIRFOIL (usa35-il),4.3,20.6,35.4,46.4,66.5,67,97.7,92.2,122.3,109.5,18.2%,6.4%
USA 34 AIRFOIL (usa34-il),4,9.2,9,40.9,66.9,60.6,86.6,75,104.8,87.4,18%,7.7%
USA 33 AIRFOIL (usa33-il),7.2,27.1,45.2,47.6,66.7,60.5,85.3,67.4,93.6,67.8,14.2%,4.9%
USA 32 AIRFOIL (usa32-il),4.5,13.5,39.8,41,64.3,50.5,68.9,59.6,76.9,67.9,14.7%,9.3%
USA 31 AIRFOIL (usa31-il),4.9,14.1,34.9,40.8,62.3,54.8,76.8,69.2,88.2,79.9,14.8%,9.3%
USA 29 AIRFOIL (usa29-il),6.6,27.1,50.4,52.4,74.6,72.6,90,80.7,101.1,95.5,13.2%,5.5%
USA 28 AIRFOIL (usa28-il),21.6,31.7,54.2,54.4,75.9,72.1,97.3,87.8,114.5,88.9,13.2%,3.8%
USA 27 mod. AIRFOIL (usa27m2-il),17.6,32.3,47.8,48.6,64.4,62.9,86.8,85,110,102.5,13.3%,5%
USA 27 AIRFOIL (usa27-il),20.1,35.5,50.5,52.8,69.4,69,95.4,92,117.4,110.1,11.1%,5.1%
USA 26 AIRFOIL (usa26-il),27.6,35.3,49.8,52.3,69.5,69.1,95.9,92.9,117.6,108.7,9.8%,4.3%
USA 25 AIRFOIL (usa25-il),25.6,35.9,52.6,54.6,74.1,73,102,97.3,124.6,106.6,8.3%,5.2%
USA 22 AIRFOIL (usa22-il),32.5,37.3,53.8,55.7,73,73.5,99.9,96.5,119.1,112.6,9.1%,4.4%
US1000ROOT (us1000root-il),19,24.7,38.3,38.6,49.1,44.3,49.8,43.1,52.3,45.9,18.6%,0%
ULTIMATE (ultimate-il),28.4,27.5,39,36.1,47.8,42,55.4,53.5,63.4,67,12.8%,0%
UNIVERSITY OF ILLINOIS UI-1720 AIRFOIL (ui1720-il),10.1,17.9,17.5,29.1,30.2,44.9,60.1,78,110.6,117.9,13.8%,4.6%
UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN ELEMENT (ua79sfm-il),12.2,16.3,41.3,40.2,82.6,80,145.9,142.4,291,241.4,18.8%,3%
UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN ELEMENT (ua79sff-il),3.4,3.5,3.6,4.1,3.8,5.1,6.4,25.9,60.5,62,8.7%,3.4%
UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL (ua79sf18-il),15,15.2,24.8,23.1,37.2,35,65,75.9,133.3,114.1,18.8%,3.7%
UA(2)-180 smoothed (ua2-180sm-il),3.9,6.5,4.9,23.7,27.9,55.9,102.9,106.8,146.4,145.3,18.2%,6.5%
UA(2)-180 (University of Alberta/Marsden) (ua2-180-il),3.9,6.6,5,23.8,30.2,55.8,103.9,107,146.2,139.6,18.1%,7%
TSAGI 8% AIRFOIL (tsagi8-il),32.8,32.5,45.3,44.4,57.7,55.4,72.2,65.1,76.8,69.7,8%,1.3%
UAG 88-143/20 (uag8814320-il),5.5,15.3,32,30.3,55.1,53.2,127,123.9,185.1,169.3,14.3%,6.2%
TSAGI 12% AIRFOIL (tsagi12-il),31.4,32.3,49.6,49.7,66.6,65.2,88.5,76.5,91.6,86.5,11.9%,2%
TsAGI R-3a (12%) (tsagi-r-3a-il),16.2,25.8,33,43.9,56.1,60.8,86.5,88.3,112.1,108.9,12.1%,3.1%
TRAINER60 (trainer60-il),15.3,24.5,36.7,38.8,51.7,50.9,73.1,65.8,85.4,79.3,18.3%,0.1%
TH 25816 HALE AIRFOIL (th25816-il),2.4,7.1,15.1,12.2,21.5,19.1,54.7,47.9,74.9,59.6,25.7%,4%
HAWKER TEMPEST 96.77% SEMISPAN AIRFOIL (tempest3-il),33.3,32.5,49.4,46.9,65.2,58.8,76.1,63.1,80.6,70.2,10%,1%
HAWKER TEMPEST 61% SEMISPAN AIRFOIL (tempest2-il),32.6,32,49.9,47.3,65.6,55,71.9,61.5,79.5,69.3,12%,0.9%
HAWKER TEMPEST 37.5% SEMISPAN AIRFOIL (tempest1-il),30.9,30.2,49.8,47.7,67,53.7,71.5,62.2,81.5,68.6,14.5%,1%
Supermarine 371-II (tip) (supermarine371ii-il),19.2,23.1,29.9,37.5,51.2,45.7,63.7,54.3,73.8,58.7,8.4%,0.9%
Supermarine 371-I (root) (supermarine371i-il),28.6,27.6,46.8,41,57.9,52.2,78.5,64,89.3,66.4,13%,0.9%
STRAND AIRFOIL (strand-il),5.7,8.5,7.5,14.2,15.5,26.5,92.4,101.6,141.7,147.1,15.4%,4.1%
EPPLER STF 863-615 AIRFOIL (stf86361-il),22.2,23.7,32.1,34.9,54.3,56.3,92.2,98.7,145.1,142.7,14.7%,4.2%
EPPLER STE 87(-3)-914 AIRFOIL (ste87391-il),32.2,30.9,51.3,45.5,69.5,61.2,97.4,92.5,146,106.6,14.6%,4.2%
EPPLER STE 871-514 AIRFOIL (ste87151-il),28,25.8,40.6,36.4,55.2,52.2,81.8,79.1,113.9,104.5,13.9%,2.5%
St. CYR 24 (Bartel 35-IIIC) (stcyr24-il),29.4,31.1,56.8,53.1,82.5,74.2,116.5,89.8,126.9,95.5,12.4%,5.9%
St. CYR 234 (Bartel 17-IC) (stcyr234-il),28,26.8,47.2,42.1,72.9,58,87.3,66.5,93.7,67.8,16%,5.1%
St. CYR 172 (Royer) (stcyr172-il),22.8,27,37.7,38.8,51.6,50.4,66.7,61.7,74.2,75.6,13.6%,0%
St. CYR 171 (Royer) (stcyr171-il),24.7,23.1,33.3,30,47.6,36.9,43,42.8,45.9,54.3,11.1%,1.5%
SIKORSKY SSC-A09  AIRFOIL (ssca09-il),28.7,27.9,38.7,39.3,50,52.7,72,70.2,87,82.6,9%,1.2%
SIKORSKY SSC-A07 AIRFOIL (ssca07-il),29.7,28.3,39.4,37.8,50.5,48.3,64.8,61.7,76,74.2,7%,0.9%
SPICA  11.73% smoothed (spicasm-il),10.6,30.9,50.9,55.9,77.9,77.6,112.1,104.2,136.7,123.2,11.7%,4.7%
SM701 (sm701-il),27,30.5,50.8,46.8,68.6,64.4,95.9,79.6,110.9,93.6,16%,3%
SG6051 (sg6051-il),35.8,34.3,58.1,57.1,82.2,78.4,113,102.3,133.6,115.8,12%,3.1%
SG6050 (sg6050-il),8.2,25.6,50,52.4,74.7,73.2,105.1,97.3,126.5,113,16%,3.1%
SG6043 (sg6043-il),39.7,37.9,66.5,65.6,98,94.7,143,129.8,175.2,145.2,10%,5.1%
SG6042 (sg6042-il),40,39.5,62.9,60.7,89,82.3,123.6,106.3,145.5,110.9,10%,3.3%
SG6041 (sg6041-il),35.4,35.1,53.5,49.8,72.8,63.9,91.5,74.2,96.5,88,10%,1.6%
SG6040 (sg6040-il),26.1,26.4,50.5,50.9,72.9,68.2,96.6,88.5,114.7,102.3,16%,2.3%
SD8040 (10%) (sd8040-il),32.6,36.7,51.5,51.7,69.2,65.9,91.6,84.7,107.7,99,10%,2.1%
SD8020-010-88 (sd8020-il),26.1,26.6,36.9,36.3,47.5,46.5,63.1,62,76.4,73.7,10.1%,0%
SD8000-089-88 (sd8000-il),33.6,34.5,49.3,46.6,64.2,57.9,80.6,74.3,92.2,87.6,8.9%,1.5%
SD7090 (10%) (sd7090-il),30.7,34.2,47.1,47.6,62.9,60.6,83.6,78.3,99,92.2,10%,1.5%
SD7084 (9.6%) (sd7084-il),31.3,35.5,49.2,49.7,65.7,63.8,87.7,83.5,104.9,98.9,9.6%,2.3%
SD7062 (14%) (sd7062-il),12.1,32.1,47.6,52.2,70,70.3,99.1,94.5,121.5,113.5,14%,3.5%
SD7080 (9.2%) (sd7080-il),33.6,37.3,52.1,52,69.4,66.1,91.5,84.9,107.5,98.8,9.2%,2.1%
SD7037-092-88 (sd7037-il),34.5,39.1,55.2,55.4,74.7,70.8,99.3,90.1,116,104.6,9.2%,2.5%
SD7034 (sd7034-il),27.8,37.4,54.3,57.6,77.8,76.2,107.4,99.5,128.4,116.3,10.5%,3.6%
SD7032-099-88 (sd7032-il),31.9,39.8,56.3,58,77.9,75.1,105.4,97.8,125.3,114.5,10%,3.4%
SD7003-085-88 (sd7003-il),29.3,32.7,43.3,45.1,58.1,58,78.5,76,93.7,89.1,8.5%,1.2%
SD6080 (9.2%) (sd6080-il),36.1,39.6,59.4,60.5,83.6,80.4,115.3,104.4,137.4,119.7,9.2%,3.2%
SD6060-104-88 (sd6060-il),33.2,34.9,51.6,50.7,70.4,65.5,94.6,80.7,105.7,87,10.4%,1.6%
SD5060 (9.5%) (sd5060-il),33.6,36.3,51.5,50.2,68.6,62.8,88.8,79.8,100.9,94.9,9.5%,2%
SD2083 (9.0%) (sd2083-il),37.4,38.3,58.1,56.4,80.3,74,109,93.3,127.3,102.9,9%,2.5%
SIKORSKY SC2110 AIRFOIL (sc2110-il),26.5,27.6,34.7,38.9,47.6,52.8,71.4,74.3,91.7,92.1,9.9%,1.9%
SD2030-086-88 (sd2030-il),37.6,37.1,56.3,52.8,77.3,68.9,104.8,81,112.4,87.3,8.6%,2.2%
NASA SC(2)-1010 AIRFOIL (sc21010-il),32.1,36.1,48.7,49.6,69.3,67.7,100.8,85.6,115.3,89.9,10%,2.8%
NASA SC(2)-1006 AIRFOIL (sc21006-il),28.3,29.8,39.2,48.9,66.5,61.3,101.9,92,130.4,100.2,6%,2.6%
NASA SC(2)-0714 AIRFOIL (sc20714-il),25.4,22.4,27.4,31,36,43.7,63.1,64.2,81.2,80,14%,2.5%
NASA SC(2)-0712 AIRFOIL (sc20712-il),24.8,23.7,32,33.4,43.5,47.4,70.6,64.9,85.3,80.2,12%,2.2%
NASA SC(2)-0710 AIRFOIL (sc20710-il),24.8,25.7,32.3,33.8,44.1,45,71.6,63.7,90.1,79.1,10%,2.1%
NASA SC(2)-0706 AIRFOIL (sc20706-il),24,25.3,38.2,33.3,40.6,44.1,67,55.8,96.6,68,6%,1.6%
NASA SC(2)-0614 AIRFOIL (sc20614-il),26.4,22.7,28.8,31.7,38.9,44.5,62.7,64.3,77.6,80.1,14%,2.1%
NASA SC(2)-0612 AIRFOIL (sc20612-il),24.5,23.2,29.8,31.9,40.5,44.6,63.6,65,77.9,79.8,12%,1.9%
NASA SC(2)-0610 AIRFOIL (sc20610-il),23.7,24.6,31.7,31.8,41.9,43.1,64.9,62.7,74.3,77.5,10%,1.8%
NASA SC(2)-0606 AIRFOIL (sc20606-il),23.3,25.3,31.7,35,51.8,46.2,72.4,53.6,82.1,65.6,6%,1.3%
NASA SC(2)-0518 AIRFOIL (sc20518-il),26,20.9,25.9,30.2,36.5,43.2,59.3,62.5,77.3,78.1,18%,1.9%
NASA SC(2)-0503 AIRFOIL (sc20503-il),19.4,19.4,26.5,24,52.3,32.1,50.2,35.3,71.3,42.8,3%,0.8%
NASA SC(2)-0414 AIRFOIL (sc20414-il),25.9,21.5,25.5,30.5,35.3,43.3,57.9,63.4,76.3,78.8,14%,1.5%
NASA SC(2)-0412 AIRFOIL (sc20412-il),24.4,21.8,26.7,30.4,35.1,43,56.7,63,75.8,78.2,12%,1.3%
NASA SC(2)-0410 AIRFOIL (sc20410-il),22.4,22.1,30.6,29.3,35.3,41.3,54,60.5,71.9,74.7,10%,1.1%
NASA SC(2)-0406 AIRFOIL (sc20406-il),20.9,24.5,37.2,32.3,47.5,36.8,52.9,50.3,59.8,61.5,6%,0.6%
NASA SC(2)-0404 AIRFOIL (sc20404-il),20.7,19.1,37.6,26,35.2,35.2,52,41.5,49.7,55.1,4%,0.7%
NASA SC(2)-0403 AIRFOIL (sc20403-il),18,18,24.4,21.8,32.5,28.9,42.4,33.2,46.5,39.9,3%,0.6%
NASA SC(2)-0012 AIRFOIL (sc20012-il),24.6,23.6,33.1,29.7,36,39.9,53.7,58.6,71.8,72.9,12%,0%
NASA SC(2)-0010 AIRFOIL (sc20010-il),23.7,22.9,33.1,28.7,39.5,39,52,56.6,67.7,70.1,10%,0%
SIKORSKY SC1094R8 AIRFOIL (sc1095r8-il),24.4,27,33.6,37.6,45.3,50.6,67.8,72.6,88,91.7,9.3%,2.1%
SIKORSKY SC1095 AIRFOIL (sc1095-il),25.3,26.6,34.2,36.4,45.3,48.8,69.5,70.2,87,85.6,9.5%,0.8%
SIKORSKY SC1012R8 AIRFOIL (sc1012r8-il),23.6,26.7,34,37.6,46.4,50.8,68.3,72.1,88.5,90.7,12%,2.7%
SARATOV AIRFOIL (saratov-il),18.8,18.9,33.7,48.6,161.9,77.9,112.2,113.8,145.9,136.9,9.2%,9.8%
SIKORSKY SC1094 R8 AIRFOIL (sc1094r8-il),24.5,27.1,33.7,37.7,45.6,50.8,67.8,72.5,88.3,91.7,9.4%,2.1%
SA7038 (sa7038-il),34.6,39.7,56.2,56.7,76.5,72.6,102,92.5,119.3,107.7,9.2%,3%
SA7036 (sa7036-il),33.6,38.5,53.9,54.5,73,69.5,97.1,88.9,114,103.5,9.2%,2.6%
SA7035 (sa7035-il),33.2,37.8,52.8,53.3,71.3,68,94.9,87.2,111.4,101.2,9.2%,2.4%
SA7026 (sa7026-il),38.4,40.6,61.8,61.9,87.5,82.8,121.1,106.4,143.1,120.7,9%,3.8%
SA7025 (sa7025-il),38.1,41.9,60.6,60.4,83.3,77.9,111.6,98.6,129.7,112.4,8%,3.6%
SA7024 (sa7024-il),38.8,42.3,59.8,59,80.5,74.6,105.7,93.9,122.4,107.2,7%,3.3%
S9037 (9%) (s9037-il),34.7,39.8,56.8,57.7,78.1,74.3,104.8,95.2,123.2,110.1,9%,3.3%
S9033 (7.5%) (s9033-il),21.7,23.5,29.5,32.3,39.6,42.9,56.9,58.9,70.7,72,7.5%,0%
S9032 (9%) (s9032-il),23.5,25,32.7,34.2,43.2,44.9,60.2,61,74.2,74.1,9%,0%
S9027 (8%) (s9027-il),22.6,23.9,30.6,32.8,40.7,43.3,57.9,59.5,71.8,73.1,8%,0%
S9026 (9.5%) (s9026-il),24.2,25.4,33.8,34.6,44.3,45.3,60.9,61.5,75.1,74.6,9.5%,0%
S9000 (9%) (s9000-il),34.7,37.9,53.3,52.7,71,66.5,93,84.4,108.2,97.3,9%,2.1%
NREL's S835 Airfoil (s835-nr),23.7,19.2,34.8,35.1,55.1,51.9,77.4,65.1,88.4,70.6,21%,2.4%
NREL's S834 Airfoil (s834-nr),29.8,26.6,47.4,44.7,70.6,55.5,81.2,74.4,102.7,83.5,15%,1.6%
NREL's S833 Airfoil (s833-nr),27.5,23.6,39.4,36.8,54.8,55.3,86.4,74.3,104.1,79.9,18%,2.5%
NREL's S832 Airfoil (s832-nr),19.8,16,26.4,25.2,54.7,67.2,126,118.9,163.3,151.2,14.9%,5.3%
NREL's S831 Airfoil (s831-nr),17.2,14.2,21.8,21.2,36.7,47,113.9,112.6,152.7,147.5,18%,5%
NREL's S830 Airfoil (s830-nr),4.2,10.8,17.7,34.2,61.1,66.3,95.2,94,117.8,115.3,21%,4.4%
NREL's S829 Airfoil (s829-nr),22.4,21,33.1,25.3,47.5,35.6,63,62.3,88.2,72.4,16%,0.7%
NREL's S828 Airfoil (s828-nr),19.8,18.1,28.9,28.5,63.9,40.3,76.9,82,112.4,107,16%,2.2%
NREL's S827 Airfoil (s827-nr),16.5,14,20.4,21.3,35.6,35,84.4,81.3,121.4,109.6,21%,2.2%
NREL's S826 Airfoil (s826-nr),34.6,34.4,60.9,60,83,81.4,114,107.7,137.7,126.7,14%,4.3%
NREL's S822 Airfoil (s822-nr),27.7,23.7,42.7,39.8,68.6,60.2,94.7,85.1,117.1,96.9,16%,1.8%
NREL's S825 Airfoil (s825-nr),29.3,32.2,50.3,52.8,70.1,70.5,97.4,94,118.9,111,17.1%,3.9%
NREL's S823 Airfoil (s823-nr),20.9,20.4,42.3,43.2,62.5,60,86.1,77.5,101.5,87.6,21.2%,2.4%
NREL's S821 Airfoil (s821-nr),4.8,19.4,35.6,37.4,52.8,51.1,72.8,66,87.5,75.6,24.2%,2.6%
NREL's S820 Airfoil (s820-nr),26.8,22.4,39.3,37,65.4,65.9,105.3,95.1,129.5,109.8,16%,2.1%
NREL's S819 Airfoil (s819-nr),7.9,22.6,38.4,40.4,55.6,54.8,77.6,72.5,93.4,84.1,21.1%,1.3%
NREL's S818 Airfoil (s818-nr),6.8,11.4,16.7,39.6,57.7,58.8,83.4,81.9,105.9,101.1,24%,3.3%
NREL's S817 Airfoil (s817-nr),21.5,17.9,25.9,26.6,45.3,53,105.3,101.1,137.3,126,16%,2.8%
NREL's S816 Airfoil (s816-nr),16.9,12.9,21,22.2,59,60.6,96.9,91,121.4,108.8,21%,1.8%
NREL's S815 Airfoil (s815-nr),3.2,9,26.2,36,54.4,54.8,79.5,75.9,99.4,91.1,26.2%,2.9%
NREL's S814 Airfoil (s814-nr),4.4,10.9,35.2,40.1,58.3,58.8,84.4,80.8,104.7,97.1,24.1%,3%
NREL's S813 Airfoil (s813-nr),23.5,20.4,35.2,34.4,64.8,65.3,104.6,96.3,130.8,115.3,16%,2.3%
NREL's S812 Airfoil (s812-nr),17.4,14.2,23.9,25.8,56.2,59.6,92.4,87.4,116.5,105.2,21%,1.6%
NREL's S811 Airfoil (s811-nr),6.1,7.5,12.8,28.4,48.8,52.3,79.1,76,99.5,90.9,26.3%,1.7%
NREL's S810 Airfoil (s810-nr),20.7,16.5,24.9,27.1,50,52.2,83.2,77.2,105.4,92.5,18%,0.9%
NREL's S809 Airfoil (s809-nr),15.5,13.9,23.4,26.8,51.7,53.9,81.2,75.6,100.6,89.8,21%,1%
NREL's S808 Airfoil (s808-nr),8.2,24.6,36.5,41.4,55.1,56,78.9,76.6,98.5,92.8,21%,2.4%
NREL's S807 Airfoil (s807-nr),20.3,22,33.4,40.3,56.4,59.4,84.9,83.9,106.7,101.7,18%,1.9%
S8066 (10% version of S8065 w/ lower surface aerodynamically similar) (s8066-il),32.6,31.5,47.9,44.6,64.7,54.1,75,61.6,81.2,73.2,10%,0.8%
S8065 (11% version of S8064) (s8065-il),31.8,31.2,49.4,46.5,69,57.5,80.5,64.3,88.8,74.5,11%,1.1%
S8064 (s8064-il),31,29.3,48.8,46.4,68.9,55.2,80.2,65.4,90,70.3,12.3%,1.1%
NREL's S805A Airfoil (s805a-nr),30.1,27.1,50.9,50.6,75.6,67,96.9,89.9,117.4,103.3,13.5%,2.1%
S8055 (12%) (s8055-il),32.2,32.7,50.8,48.3,71,62.3,86.2,74.9,95,88.7,12%,1.6%
S8052 (11.88%) (s8052-il),31,32.4,48.4,46.3,66.1,58.6,81.6,73.5,92.3,87.5,11.9%,1.2%
NREL's S804 Airfoil (s804-nr),4.8,22.2,28.6,45.2,58.2,67.9,98.1,98.6,128,125.5,17.9%,4.2%
S8038 (13%) (s8038-il),29.2,30.3,45.2,43.2,59.8,52.9,71.6,69,85.8,83.6,13%,0.6%
S8037 (16%) (s8037-il),7.2,22.8,47,48.3,71.3,69,99.9,85.3,110.5,98.5,16%,1.9%
